M40[0.3193212148],[0.3193212148],[0.3193212148],[0.3193212148],[0.3193212148],[0.3193212148],[0.3193212148],[0.3193212148],[0.3193212148],[0.3193212148],[0.3193212148],[0.3193212148],[0.3193212148],[0.3193212148],[0.3193212148],[0.3193212148],[0.3193212148],[0.3193212148],M41[0.5752768485],[0.5752768485],[0.5752768485],[0.5752768485],[0.5752768485],[0.5752768485],[0.5752768485],[0.5752768485],[0.5752768485],[0.5752768485],[0.5752768485],[0.5752768485],[0.5752768485],[0.5752768485],[0.5752768485],[0.5752768485],[0.5752768485],[0.5752768485]
0.161692,0.107487,0.0981213,0.0858415,0.103411,0.125697,0.0927853,0.071704,0.0898401,0.077045,0.0696446,0.0574068,0.0863041,0.0896602,0.0628373,0.0638177,0.100328,0.0862368,0.183195,0.144302,0.123336,0.122425,0.122205,0.115173,0.10658,0.10601,0.109655,0.123561,0.131733,0.150468,0.114878,0.136136,0.117554,0.126666,0.114389,0.108333
0.166759,0.11347,0.101721,0.0905786,0.104183,0.130632,0.0976714,0.0734028,0.0920026,0.0839146,0.0719643,0.065549,0.0909961,0.0977764,0.0718808,0.0725765,0.106751,0.0886423,0.193428,0.150826,0.12456,0.13278,0.131532,0.11905,0.110606,0.110825,0.113414,0.124557,0.137473,0.150682,0.124813,0.141462,0.120014,0.124846,0.117284,0.112791
0.166211,0.1115,0.0985872,0.0812778,0.0975443,0.124098,0.0905957,0.0685252,0.0887792,0.0761203,0.069459,0.0615027,0.08452,0.0946664,0.0692268,0.0645803,0.0988657,0.0859263,0.196428,0.142028,0.121115,0.121394,0.124721,0.110081,0.106335,0.106496,0.107396,0.11826,0.130315,0.148678,0.122057,0.1385,0.116759,0.119898,0.111853,0.104347
0.174418,0.109548,0.0964342,0.0821727,0.0973236,0.121239,0.0897581,0.0683644,0.0850724,0.0765616,0.0625625,0.0591217,0.0786366,0.0910667,0.0627092,0.063878,0.0976368,0.0846991,0.205671,0.151681,0.1237,0.125993,0.128559,0.113985,0.107582,0.107439,0.109971,0.123781,0.134387,0.151188,0.121815,0.143032,0.116626,0.126867,0.11211,0.107167
0.174401,0.104917,0.0931611,0.0795536,0.103296,0.120327,0.0874266,0.0661348,0.0870332,0.0740499,0.0652225,0.0547049,0.07961,0.0875755,0.0667677,0.0636664,0.0953954,0.0794302,0.203218,0.144961,0.115283,0.117891,0.117775,0.107459,0.102984,0.0999589,0.10343,0.117075,0.125572,0.144344,0.111113,0.128459,0.11377,0.118352,0.111358,0.101666
0.184024,0.11143,0.0949926,0.0860156,0.0986712,0.129703,0.0897221,0.0795543,0.0866928,0.0819096,0.0705707,0.0612636,0.0880601,0.0927515,0.0641667,0.0640287,0.109495,0.0907107,0.205848,0.141688,0.117618,0.119132,0.122741,0.107855,0.107147,0.10561,0.101147,0.114315,0.129655,0.148523,0.112598,0.129782,0.115867,0.118772,0.10789,0.0950863
0.173149,0.106098,0.0945978,0.0776763,0.095718,0.120224,0.0897463,0.0686743,0.0817898,0.0740586,0.0687616,0.0584801,0.08419,0.0905554,0.0667816,0.0641618,0.0976719,0.0831228,0.193016,0.137096,0.116782,0.127165,0.116339,0.107804,0.102968,0.103599,0.10441,0.116802,0.130447,0.13535,0.106765,0.129268,0.11193,0.116864,0.109489,0.0980425
0.158354,0.105965,0.0932195,0.0819013,0.0959309,0.125354,0.0938144,0.0756357,0.0803004,0.0785315,0.068762,0.058475,0.0807111,0.0915792,0.0647929,0.0696958,0.0981799,0.0902728,0.175256,0.140681,0.126504,0.126202,0.121692,0.107576,0.105837,0.108477,0.100157,0.115251,0.12112,0.146677,0.11233,0.13094,0.109434,0.120369,0.112634,0.0966999
0.148851,0.0981402,0.0903858,0.0754466,0.0929519,0.117883,0.0922086,0.0629528,0.0837035,0.0753633,0.0697777,0.0544818,0.077061,0.0846573,0.0667221,0.0664987,0.0997445,0.0817021,0.16619,0.133082,0.112129,0.116699,0.116345,0.102544,0.0979657,0.097362,0.0959226,0.111354,0.122979,0.134015,0.103024,0.127494,0.104975,0.117484,0.102442,0.0966711
0.14481,0.100089,0.10214,0.0856968,0.098263,0.129996,0.0960278,0.0694414,0.0933985,0.0786411,0.0776953,0.0605525,0.0842827,0.0903544,0.072228,0.0714101,0.107959,0.0926632,0.156847,0.125583,0.114889,0.113009,0.116232,0.105897,0.0952758,0.0944324,0.0979142,0.109228,0.127028,0.139142,0.110174,0.129711,0.107633,0.115351,0.106682,0.0999682
